SampleID	Donor	Species	Bubble	Animal	Date	Gender	Timingofinocu	Diet	SampleType	Actual_inoculum	Color_Sp	Time_point	Description
102	ELD2	mouse	29	A38	17-Aug-17	female	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
109	ELD2	mouse	29	A39	17-Aug-17	female	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
110	ELD2	mouse	29	A40	17-Aug-17	female	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
97	ELD2	mouse	29	A33	17-Aug-17	male	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
98	ELD2	mouse	29	A34	17-Aug-17	male	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
99	ELD2	mouse	29	A35	17-Aug-17	male	NA	solid	fecal	NA	green	2days_mouse	48hrs_post_inoc
72	ELD2	piglet	6of7	6A	2-Mar-18	female	NA	solid	fecal	NA	blue	2days_pig	48hrs_post_inoc
79	ELD2	piglet	6of7	6B	2-Mar-18	male	NA	solid	fecal	NA	blue	2days_pig	48hrs_post_inoc
80	ELD2	piglet	6of7	6C	2-Mar-18	male	NA	solid	fecal	NA	blue	2days_pig	48hrs_post_inoc
356	ELD2	mouse	29	E31	12-Sep-17	male	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
357	ELD2	mouse	29	E32	12-Sep-17	male	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
358	ELD2	mouse	29	E33	12-Sep-17	male	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
367	ELD2	mouse	29	E36	12-Sep-17	female	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
368	ELD2	mouse	29	E37	12-Sep-17	female	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
369	ELD2	mouse	29	E38	12-Sep-17	female	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
370	ELD2	mouse	29	E39	12-Sep-17	female	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
550	ELD2	mouse	29	E34	12-Sep-17	male	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
551	ELD2	mouse	29	E35	12-Sep-17	male	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
562	ELD2	mouse	29	E40	12-Sep-17	female	NA	solid	fecal	NA	green	4weeks_mouse	4weeks_post_inoc
237	ELD2	piglet	6of7	6A	28-Mar-18	female	NA	solid	fecal	NA	blue	4weeks_pig	4weeks_post_inoc
238	ELD2	piglet	6of7	6B	28-Mar-18	male	NA	solid	fecal	NA	blue	4weeks_pig	4weeks_post_inoc
239	ELD2	piglet	6of7	6C	28-Mar-18	male	NA	solid	fecal	NA	blue	4weeks_pig	4weeks_post_inoc
448	ELD2	mouse	29	F31	19-Sep-17	male	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
449	ELD2	mouse	29	F32	19-Sep-17	male	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
450	ELD2	mouse	29	F33	19-Sep-17	male	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
457	ELD2	mouse	29	F34	19-Sep-17	male	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
458	ELD2	mouse	29	F35	19-Sep-17	male	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
459	ELD2	mouse	29	F36	19-Sep-17	female	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
460	ELD2	mouse	29	F37	19-Sep-17	female	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
461	ELD2	mouse	29	F38	19-Sep-17	female	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
462	ELD2	mouse	29	F39	19-Sep-17	female	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
469	ELD2	mouse	29	F40	19-Sep-17	female	NA	solid	fecal	NA	green	5weeks_mouse	5weeks_post_inoc
271	ELD2	piglet	6of7	6A	4-Apr-18	female	NA	solid	fecal	NA	blue	5weeks_pig	5weeks_post_inoc
272	ELD2	piglet	6of7	6B	4-Apr-18	male	NA	solid	fecal	NA	blue	5weeks_pig	5weeks_post_inoc
