Samp	Val
ASVH1009	1
ASVH1011	2
ASVH1015	3
ASVH1036	4
ASVH1038	5
ASVH118	6
ASVH1749	7
ASVH1908	8
ASVH2060	9
ASVH2323	10
ASVH2378	11
ASVH2480	12
ASVH2641	13
ASVH2937	14
ASVH302	15
ASVH3023	16
ASVH3047	17
ASVH3060	18
ASVH3118	19
ASVH3133	20
ASVH3193	21
ASVH3233	22
ASVH3236	23
ASVH3238	24
ASVH3239	25
ASVH3255	26
ASVH3292	27
ASVH3350	28
ASVH3368	29
ASVH3410	30
ASVH3455	31
ASVH353	32
ASVH3547	33
ASVH3550	34
ASVH3560	35
ASVH3585	36
ASVH3643	37
ASVH3767	38
ASVH3768	39
ASVH3772	40
ASVH3902	41
ASVH3905	42
ASVH3926	43
ASVH3942	44
ASVH3951	45
ASVH4508	46
ASVH4526	47
ASVH4613	48
ASVH5251	49
ASVH5254	50
ASVH5256	51
ASVH5260	52
ASVH5262	53
ASVH5265	54
ASVH5294	55
ASVH5314	56
ASVH5335	57
ASVH5343	58
ASVH5388	59
ASVH5392	60
ASVH54	61
ASVH5452	62
ASVH5464	63
ASVH5465	64
ASVH5505	65
ASVH5559	66
ASVH5820	67
ASVH5882	68
ASVH5915	69
ASVH5949	70
ASVH6016	71
ASVH6047	72
ASVH6049	73
ASVH6057	74
ASVH6067	75
ASVH6071	76
ASVH6076	77
ASVH6185	78
ASVH6237	79
ASVH63	80
ASVH74	81
ASVH774	82
ASVH793	83
ASVH805	84
ASVH892	85
ASVH919	86
ASVH96	87
