Samp	Val
ASVP1	1.00E-04
ASVP101	0.0287
ASVP105	0.0015
ASVP115	0.0074
ASVP117	0.0015
ASVP12	0.1141
ASVP123	0.0021
ASVP131	0.0014
ASVP136	0.0037
ASVP137	0.0012
ASVP138	0.002
ASVP14	0.0124
ASVP145	0.003
ASVP147	9.00E-04
ASVP149	0.0014
ASVP158	0.0001
ASVP16	0.0016
ASVP164	2.00E-04
ASVP171	4.00E-04
ASVP175	5.00E-04
ASVP178	0.0074
ASVP187	0.0015
ASVP193	8.00E-04
ASVP194	0.0011
ASVP197	0.0013
ASVP20	0.0047
ASVP202	4.00E-04
ASVP210	0.0016
ASVP22	0.0086
ASVP223	0.001
ASVP234	0.0015
ASVP25	0.0186
ASVP253	2.00E-04
ASVP26	0.0086
ASVP265	0.0029
ASVP266	0.002
ASVP274	0.0025
ASVP277	0.0026
ASVP28	0.0013
ASVP281	1.00E-04
ASVP282	0.0046
ASVP286	2.00E-04
ASVP290	0.0001
ASVP313	0.0028
ASVP314	9.00E-04
ASVP335	5.00E-04
ASVP339	0.0013
ASVP347	6.00E-04
ASVP35	0.0032
ASVP357	6.00E-04
ASVP36	0.0031
ASVP362	0.001
ASVP368	2.00E-04
ASVP38	0.0011
ASVP381	0.0016
ASVP39	0.0014
ASVP391	7.00E-04
ASVP4	0.0148
ASVP40	0.0029
ASVP415	0.0001
ASVP42	0.0065
ASVP424	4.00E-04
ASVP448	1.00E-04
ASVP456	0.0001
ASVP48	0.0029
ASVP498	1.00E-04
ASVP5	0.0045
ASVP50	0.0122
ASVP512	1.00E-04
ASVP54	0.0192
ASVP55	0.0023
ASVP57	0.0037
ASVP574	3.00E-04
ASVP6	0.093
ASVP604	2.00E-04
ASVP61	0.0031
ASVP64	0.0305
ASVP645	1.00E-04
ASVP680	0.0001
ASVP69	0.0046
ASVP706	0.0001
ASVP74	0.0016
ASVP76	0.0082
ASVP77	1.00E-04
ASVP78	0.002
ASVP79	0.0084
ASVP833	0.0001
ASVP86	0.0018
ASVP87	0.0013
ASVP9	0.0012
ASVP92	5.00E-04
ASVP95	0.0025
