	289	290	291	30	306	307	308	309	310	313	314	323	379	38	380	381	382	39	40	41	42	49	50	58	59	60	67	81	82	83	R2D269	R2D273	193	194	195	196	197	198	215	216	223	252	259	260	265	266	267	268	269	270	277	391	392	470	471	472	473	474	490	491	502	563	574	575	111	112	113	114	121	122	123	124	175	176	177	185	186
ASV_264 Lachnoclostridium	10.4990054	-6.617356959	-6.617356959	5.357647254	10.34623872	8.440387976	8.155597215	10.11616236	9.252180587	10.51244881	14.7158616	4.524992046	7.634724467	7.088562891	7.898935525	9.480829695	7.966695144	7.378193916	7.204176208	5.511831656	4.485022102	6.595884203	6.713101098	7.38336159	5.598914904	-6.617356959	-6.617356959	8.885841955	-6.617356959	9.160758856	5.563017671	4.079063343	7.913908393	7.262710729	8.478028237	8.765189918	8.170060747	10.15376605	12.32767048	10.97905976	-6.617356959	10.91303631	11.38895177	-6.617356959	7.47266916	7.431258842	8.071056593	8.29215861	7.880361695	8.240002859	8.412773937	6.889953272	7.27676991	7.588900564	7.501568708	7.241769535	6.806195963	6.658416238	7.503854778	8.243266656	9.512650896	8.095026194	8.190064453	9.642268597	6.347471859	7.965833756	6.302239551	10.04364082	8.464273528	7.307239378	8.316769811	8.938382812	7.118660632	9.833050746	-6.617356959	8.668489595	8.588157446
ASV_265 Lachnoclostridium	10.39632123	9.880630765	10.7412137	5.752960131	10.78477705	8.508256201	8.48143629	10.34894514	9.733418068	10.47237194	14.8153972	5.470606849	8.038754727	7.236864542	8.302261188	9.970565749	8.246196981	7.630707581	7.678746632	6.022892302	4.727675373	6.834776564	6.619506824	7.540884659	5.526796207	-6.617356959	-6.617356959	8.931643703	-6.617356959	9.259159175	5.69247504	5.145898763	7.944657148	7.654828214	8.942137612	8.939109179	8.571569193	10.45402221	12.42077953	11.36634884	12.19348882	11.49799373	12.02544066	-6.617356959	7.797791892	7.634099764	8.429949937	8.556152461	8.373193812	8.781255466	8.883352114	7.510311751	7.831298278	8.135860544	7.742663378	7.25952363	7.42680086	7.04910802	7.65935581	8.544582535	9.880132521	8.400322826	8.420265392	9.945406247	6.515683891	8.206423588	6.581106121	10.35147559	8.844285307	7.637980372	8.670340025	9.167483898	8.401842846	10.02835699	-6.617356959	8.824549216	9.067033317
ASV_267 Lachnoclostridium	11.35431656	10.82814833	10.7412137	6.647738668	11.37700194	9.339621244	9.203937909	11.13282771	10.29932692	11.7149303	15.69618358	6.999282989	8.887925053	8.069959978	9.124577824	10.61968706	9.115396486	8.348534304	8.458377642	6.460895053	5.654218066	7.559440036	7.434770026	8.565466469	7.307031244	-6.617356959	6.659747478	12.10984003	12.28001235	11.64917118	7.329519329	7.006469456	8.802147469	8.313573136	9.643241756	9.762147466	9.076704591	11.2207768	13.30408085	12.07430669	11.75097284	11.92380847	12.91592393	11.83536454	8.669686383	8.601717703	9.216030265	9.386954635	9.114755231	9.31010785	9.489107127	8.18294303	8.473365263	8.752314795	8.570146023	8.557314706	8.362054161	7.940071395	8.378250298	9.386385856	10.59873035	9.195799267	9.389034628	10.68816547	7.673047962	9.130288843	7.889615351	11.25127087	9.7528324	10.02954796	9.627210852	10.29502886	9.242326265	10.93597983	11.16559576	9.568411604	9.699761777
ASV_268 Lachnoclostridium	10.39632123	9.510690268	-6.617356959	5.301092389	10.22420662	8.27878827	8.089424976	10.11616236	9.281075776	10.38871525	14.64671549	4.593645448	7.682495375	6.993629174	7.972639079	9.295205441	7.905732198	7.246966206	7.057976724	5.623429056	4.448529861	6.586897319	6.374151202	7.45550279	-6.617356959	-6.617356959	-6.617356959	8.739007223	-6.617356959	9.243218164	5.330067286	4.133446762	7.803611813	7.285225202	8.578051534	8.859703233	8.085494772	10.01395446	12.13910528	10.97447254	-6.617356959	10.76103491	10.94744598	-6.617356959	7.664716422	7.38819528	8.116675808	8.179612394	8.117579786	8.291357765	8.332838333	6.9003431	7.340344945	7.569024216	7.375920766	7.063751618	6.992577258	6.443787748	7.45008967	8.342038393	9.627531455	7.925114627	8.162345648	9.553461665	6.16436607	7.854118138	6.203015823	9.877992054	8.265038038	7.223482113	8.274257132	8.83967226	6.945356023	9.758602503	-6.617356959	8.565175355	8.515905279
ASV_350 Streptococcus	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	6.751398542	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	6.181895972	5.76974039	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959
ASV_353 Streptococcus	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	6.177796492	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	5.999647354	5.748118509	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959
ASV_354 Streptococcus	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	4.276204863	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	4.1303179	3.508750345	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959
ASV_1011 Bacteroides	12.96341761	12.77137472	10.42710929	8.479303193	11.23223159	11.9103174	11.34775497	13.66631116	12.13237714	12.92066043	15.72824477	9.389001988	11.01085876	-6.617356959	12.43472015	13.36478154	12.01939636	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	13.4624678	9.611481438	10.82498109	10.45460237	13.31816745	13.47794839	13.19736911	9.591530574	9.180258832	10.90275167	9.809741251	11.91068449	11.92852801	10.96898343	12.54734993	12.84068143	11.90866352	14.13089965	12.53126469	15.03174826	8.9234732	11.1451683	11.1960117	11.54436679	12.23556058	12.41792632	12.05029862	11.01785777	12.48944421	11.09543605	11.55476063	11.08952065	11.89310135	12.43661944	11.30542808	11.23626545	12.05458288	12.91918896	12.30922727	12.2167088	13.08493117	10.97454796	11.81591119	11.68895057	-6.617356959	3.085185724	-6.617356959	1.396054101	-6.617356959	10.88439969	12.02740361	11.51243875	11.94990856	11.95491312
ASV_1014 Bacteroides	9.63552404	10.10301873	-6.617356959	5.57358452	8.489982283	9.402323359	8.714991497	11.13769671	9.424877235	9.608044014	11.93317515	6.813882905	8.356985041	-6.617356959	9.865000453	10.84673655	9.38662532	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	10.88570144	6.748824379	-6.617356959	8.0279568	10.68202926	11.05053845	10.7343274	7.01114514	6.472612222	8.212312284	7.050042102	9.289920417	9.283494839	8.109054159	9.764668917	10.20003047	8.380365097	-6.617356959	10.08937082	12.44679015	-6.617356959	8.445795138	8.433999584	8.851351961	9.57186707	9.721725833	9.473268099	8.189948918	9.937181325	8.433483403	8.842323572	8.603625296	9.251083915	9.891297295	8.779345922	8.705906972	9.544543183	10.36234331	9.704002065	9.574453776	10.41536794	8.441849377	9.255428535	9.148694171	-6.617356959	-6.617356959	-6.617356959	-6.617356959	-6.617356959	8.509550412	9.374697865	-6.617356959	9.443181603	9.374000568
