Samp	Val
ASVM1015	0.0733
ASVM110	0.0018
ASVM139	0.002
ASVM1749	0.0241
ASVM1908	2.00E-04
ASVM2060	0.0117
ASVM2161	0.0135
ASVM2323	0.0011
ASVM2881	0.0013
ASVM2973	0.0118
ASVM3279	4.00E-04
ASVM3543	0.0012
ASVM3643	3.00E-04
ASVM3767	0.0354
ASVM3772	0.027
ASVM3975	9.00E-04
ASVM524	0.0027
ASVM5251	0.0023
ASVM5395	0.0934
ASVM5462	0.0245
ASVM5464	0.0201
ASVM5470	0.0577
ASVM5471	0.0424
ASVM5475	0.0506
ASVM5820	0.0069
ASVM5835	4.00E-04
ASVM5836	0.0021
ASVM5969	0.0024
ASVM6003	0.0843
ASVM6067	0.1242
ASVM6242	0.0132
ASVM6279	0.0122
ASVM875	6.00E-04
ASVM876	2.00E-04
ASVM877	0.0012
