Samp	Val
ASVH1015	0.0461
ASVH110	0.0023
ASVH118	0.0195
ASVH133	0.0042
ASVH139	0.0023
ASVH1749	0.0144
ASVH1908	0.006
ASVH2060	0.0025
ASVH2161	8.00E-04
ASVH227	0.0015
ASVH2323	0.0018
ASVH2377	0.0022
ASVH2464	4.00E-04
ASVH2641	0.0026
ASVH2654	0.0051
ASVH2789	0.0113
ASVH2881	0.0053
ASVH2894	0.0289
ASVH2973	0.0231
ASVH3233	0.0309
ASVH3236	0.0988
ASVH3279	0.0633
ASVH3350	0.0071
ASVH3359	7.00E-04
ASVH353	0.0167
ASVH3543	0.0042
ASVH3643	0.0037
ASVH3767	0.0191
ASVH3772	0.0518
ASVH3778	0.0098
ASVH3975	0.0016
ASVH524	9.00E-04
ASVH5251	0.0083
ASVH5395	0.0069
ASVH54	0.0073
ASVH5462	0.0292
ASVH5464	0.0039
ASVH5470	0.0113
ASVH5471	0.0071
ASVH5475	0.016
ASVH55	0.0037
ASVH5820	0.0324
ASVH5835	0.0018
ASVH5836	0.0034
ASVH5969	0.0024
ASVH6003	0.0024
ASVH6057	0.0118
ASVH6067	0.0581
ASVH6071	0.0237
ASVH6077	0.0181
ASVH6242	0.0045
ASVH6265	0.006
ASVH6268	0.0085
ASVH6279	8.00E-04
ASVH63	0.0042
ASVH777	0.0172
ASVH778	0.0137
ASVH793	0.0016
ASVH818	0.007
ASVH875	0.0125
ASVH876	0.0018
ASVH877	0.025
ASVH892	0.0058
ASVH919	0.0456
ASVH95	0.0017
