Samp	Val
ASVM1	0.1207
ASVM101	0.0027
ASVM102	0.0056
ASVM105	0.0001
ASVM109	0.0001
ASVM114	0.004
ASVM115	6.00E-04
ASVM116	0.0001
ASVM122	0.0001
ASVM126	0.0001
ASVM128	0.003
ASVM13	0.0243
ASVM136	0.0001
ASVM138	0.0013
ASVM14	0.0264
ASVM147	0.0001
ASVM15	0.0306
ASVM150	0.0001
ASVM16	0.0292
ASVM160	0.0012
ASVM162	0.0016
ASVM171	0.0014
ASVM175	0.0002
ASVM178	0.0001
ASVM187	4.00E-04
ASVM197	6.00E-04
ASVM202	7.00E-04
ASVM214	0.0001
ASVM223	5.00E-04
ASVM225	0.0001
ASVM231	6.00E-04
ASVM247	6.00E-04
ASVM254	2.00E-04
ASVM268	0.0001
ASVM28	0.0323
ASVM285	2.00E-04
ASVM286	0.0001
ASVM29	0.0419
ASVM300	5.00E-04
ASVM31	0.0267
ASVM323	2.00E-04
ASVM330	0.0001
ASVM35	0.0082
ASVM36	0.0273
ASVM38	0.0028
ASVM40	0.0037
ASVM42	0.015
ASVM48	0.0127
ASVM495	0.0001
ASVM5	0.0407
ASVM50	0.0124
ASVM536	0.0001
ASVM55	0.0023
ASVM57	0.0021
ASVM578	0.0001
ASVM6	0.0536
ASVM62	0.0001
ASVM64	0.0002
ASVM69	3.00E-04
ASVM74	0.0036
ASVM76	1.00E-04
ASVM87	0.0021
ASVM9	0.0357
ASVM92	0.0032
ASVM93	0.0001
ASVM935	0.0001
