Samp1	Samp2	Val1	Val2
ASVH221	ASVP221	0.0035	0.0023
ASVH223	ASVP223	0.0087	0.0015
ASVH225	ASVP225	0.0012	0
ASVH231	ASVP231	8.00E-04	7.00E-04
ASVH234	ASVP234	0.0016	0.0021
ASVH236	ASVP236	0.0041	0.0047
ASVH237	ASVP237	5.00E-04	0.0035
ASVH247	ASVP247	5.00E-04	0.0001
ASVH254	ASVP254	7.00E-04	5.00E-04
ASVH266	ASVP266	0.0024	0.0012
ASVH268	ASVP268	0.0134	0.0026
ASVH277	ASVP277	0.0029	2.00E-04
ASVH279	ASVP279	0.0023	0.0031
ASVH28	ASVP28	0.0291	0.0061
ASVH285	ASVP285	0.0015	3.00E-04
ASVH286	ASVP286	0.0044	0.0001
ASVH29	ASVP29	0.0068	0.0084
ASVH300	ASVP300	0.0027	1.00E-04
ASVH309	ASVP309	0.0135	1.00E-04
ASVH31	ASVP31	0.0039	0.0043
ASVH323	ASVP323	5.00E-04	1.00E-04
ASVH330	ASVP330	0.0093	0
ASVH335	ASVP335	0.0053	8.00E-04
ASVH342	ASVP342	9.00E-04	0.0013
ASVH346	ASVP346	7.00E-04	0.0018
ASVH347	ASVP347	0.006	0.0015
ASVH35	ASVP35	0.0052	0.0013
ASVH359	ASVP359	0.0042	0.0013
ASVH36	ASVP36	0.0084	0.0074
ASVH371	ASVP371	0.0015	0.001
ASVH38	ASVP38	0.0013	0.0023
ASVH383	ASVP383	0.0025	1.00E-04
ASVH386	ASVP386	7.00E-04	1.00E-04
ASVH40	ASVP40	0.0974	0.0598
ASVH419	ASVP419	0.0012	0.0011
ASVH42	ASVP42	0.0369	0.0028
ASVH421	ASVP421	0.0049	1.00E-04
ASVH428	ASVP428	0.0088	3.00E-04
ASVH454	ASVP454	0.0028	0.0012
ASVH478	ASVP478	0.0074	4.00E-04
ASVH479	ASVP479	0.0022	2.00E-04
ASVH48	ASVP48	0.0094	0.0222
ASVH485	ASVP485	5.00E-04	5.00E-04
ASVH495	ASVP495	6.00E-04	3.00E-04
ASVH5	ASVP5	0.0175	0.0284
ASVH50	ASVP50	0.0147	0.0186
ASVH536	ASVP536	6.00E-04	0
ASVH55	ASVP55	0.0363	0.0051
ASVH567	ASVP567	6.00E-04	2.00E-04
ASVH57	ASVP57	0.0012	0.0038
ASVH577	ASVP577	0.0039	2.00E-04
ASVH578	ASVP578	3.00E-04	0.0001
ASVH6	ASVP6	0.0301	0.0304
ASVH62	ASVP62	0.0022	0.0491
ASVH621	ASVP621	0.004	1.00E-04
ASVH64	ASVP64	0.0013	0.0028
ASVH662	ASVP662	0.0017	1.00E-04
ASVH69	ASVP69	0.0095	0.0093
ASVH708	ASVP708	0.0026	0.0001
ASVH712	ASVP712	0.0011	1.00E-04
ASVH722	ASVP722	0.0018	2.00E-04
ASVH728	ASVP728	4.00E-04	1.00E-04
ASVH74	ASVP74	4.00E-04	0.0074
ASVH76	ASVP76	8.00E-04	0.011
ASVH87	ASVP87	7.00E-04	7.00E-04
ASVH888	ASVP888	0.0022	1.00E-04
ASVH9	ASVP9	0.0267	0.0193
ASVH92	ASVP92	7.00E-04	0.0013
ASVH93	ASVP93	0.0135	0.0286
ASVH935	ASVP935	4.00E-04	1.00E-04
ASVH95	ASVP95	0.0468	0.0115
