Samp	Val
ASVP2317	1.00E-04
ASVP2416	1.00E-04
ASVP3153	1.00E-04
ASVP3158	1.00E-04
ASVP3282	1.00E-04
ASVP3904	1.00E-04
ASVP5337	1.00E-04
ASVP5883	1.00E-04
ASVP5915	1.00E-04
ASVP5963	1.00E-04
ASVP6090	1.00E-04
ASVP6235	1.00E-04
ASVP6265	1.00E-04
ASVP777	1.00E-04
ASVP118	2.00E-04
ASVP275	2.00E-04
ASVP3126	2.00E-04
ASVP3281	2.00E-04
ASVP5343	2.00E-04
ASVP6261	2.00E-04
ASVP2355	3.00E-04
ASVP2960	3.00E-04
ASVP5540	3.00E-04
ASVP2330	4.00E-04
ASVP6067	4.00E-04
ASVP3045	5.00E-04
ASVP3854	5.00E-04
ASVP2937	7.00E-04
ASVP4220	7.00E-04
ASVP3768	8.00E-04
ASVP5746	8.00E-04
ASVP6047	8.00E-04
ASVP133	0.001
ASVP851	0.0011
ASVP3118	0.0012
ASVP3541	0.0012
ASVP2060	0.0013
ASVP2298	0.0013
ASVP3057	0.0013
ASVP3942	0.0013
ASVP3951	0.0015
ASVP74	0.0015
ASVP4232	0.0016
ASVP3506	0.0018
ASVP3238	0.0019
ASVP5466	0.0019
ASVP54	0.0021
ASVP3255	0.0023
ASVP5256	0.0023
ASVP5320	0.0023
ASVP6276	0.0023
ASVP353	0.0025
ASVP2327	0.0026
ASVP5932	0.0026
ASVP2641	0.0028
ASVP3902	0.0028
ASVP5471	0.003
ASVP2484	0.0031
ASVP3279	0.0032
ASVP813	0.0035
ASVP3233	0.0036
ASVP3643	0.0036
ASVP5559	0.0036
ASVP774	0.0037
ASVP1036	0.0038
ASVP1035	0.004
ASVP5474	0.0043
ASVP6057	0.0045
ASVP5902	0.0047
ASVP5251	0.0051
ASVP5262	0.0053
ASVP793	0.0057
ASVP5475	0.0058
ASVP919	0.0061
ASVP3309	0.0064
ASVP3063	0.0069
ASVP740	0.007
ASVP2303	0.0074
ASVP4613	0.0074
ASVP6185	0.0074
ASVP5387	0.0084
ASVP2480	0.0093
ASVP55	0.0096
ASVP63	0.0106
ASVP2789	0.011
ASVP805	0.011
ASVP3236	0.0115
ASVP6016	0.0141
ASVP6272	0.0154
ASVP5505	0.0186
ASVP1015	0.0193
ASVP1038	0.0222
ASVP2513	0.0242
ASVP5452	0.0284
ASVP6094	0.0286
ASVP3410	0.0304
ASVP6145	0.0324
ASVP1749	0.0351
ASVP1908	0.0394
ASVP6077	0.0491
ASVP3292	0.0598
